Libellé;Code;Périodicité (PERIODICITE);Coordinateur Pédagogique (COORDO_PEDAGO);Nb jours Total (NB_JOUR);Nb d'heures Total (NB_HEUR);Taux de rémunération (CLPRIX);Prix (FIC_PRIX);Objectif (FIC_OBJ);Public (FIC_PUBLIC);Choisir son cours ou son niveau (CHOIX_COURS_NIV_UE);Prérequis (FIC_PRE_REQ_DES);Auto-Test (AUTOTEST_UE);Programme (FIC_DES_PRG);Renseignements Complémentaires (RENS_COMP_UE);Période(s) d'inscription (FIC_MODAL_INSCRIP);Organisation des sessions (FIC_ORG_SESS);Calendrier (FIC_CAL);Outils pédagogiques (FIC_OUTI_PEDAGO);Stage(s) (FIC_STAGE);Equipements spécifiques (FIC_EQUIP_SPE);Fournitures (FIC_FOURNITUR);Tenues professionnelles (FIC_TENU_PRO);En savoir plus (SAVOIR_PLUS_UE);Lien vers un autre site (LIEN_AUTRE_SITE_UE);Nouveau (FIC_NOUVEAU);Logo certificat de compétence (LOGO01);Logo Diplôme (LOGO02);Logo Cité des métiers (LOGO10);Logo Ecole Du Breuil (LOGO09);Logo Open Badge (LOGO13)
Italien à distance 30h, B1.1 visé;IT/30/5;Semestriel;CENTILI Sara;15;30;Taux 2;200;Développer sa capacité à communiquer en italien à l'oral et à l'écrit pour répondre aux situations de la vie courante et découvrir des aspects variés de la culture et de la civilisation italiennes.    ;Tout public ayant le niveau prérequis indiqué ci-dessous.;https://scap.paris.fr/uploads/Choisir%20son%20cours%2022-23%20ITA.pdf;Le niveau B1.1 nécessite l’acquisition préalable des compétences requises au niveau A2.  Inscription sur test sauf pour les auditeurs ayant validé, l’année précédente, le niveau A2 ou A2.2.  ;https://forms.gle/WqHfpLL1tgRMVTkn8;Entraînement progressif aux 5 compétences définies par le CECRL : compréhension orale, expression orale en continu, expression orale en interaction, compréhension écrite, expression écrite. Niveau d’enseignement: B1.1 (première partie du niveau B1).  Voir tableau des compétences par niveau du Cadre Européen Commun de Compétences pour les Langues (CECRL) sur le site www.paris.fr/cap. ;Les candidats qui choisissent la modalité distanciel (« formation ouverte à distance ») doivent disposer d’un ordinateur personnel, d’un micro et d’une webcam ainsi que d’une connexion à internet stable (box internet).  Il faut, par ailleurs, qu’ils soient familiarisés avec l’utilisation des outils bureautiques et de visioconférence.;Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 09 septembre 2024 (minuit) inclus.  ;;Semestre 1 : du lundi 07 octobre 2024 au samedi 15 février 2025 inclus.  2 heures hebdomadaires.   Le cours est proposé uniquement en distanciel.  ;Il sera demandé aux candidats l’achat d’un manuel en début de formation.  Par ailleurs, des supports et activités complémentaires seront disponibles sur la plateforme Moodle.;;"Pour les sessions en distanciel et hybride, les cours se déroulent sur la plateforme pédagogique des Cours d’Adultes de Paris. Ceux-ci sont présentés sous la forme de classes virtuelles, où les interactions avec le.la formateur.rice et le groupe sont nombreuses. Nous précisons qu'aucun lien de visioconférence ne sera envoyé directement par mail.   Pour y participer, il est très vivement recommandé de : •	Se connecter d’un ordinateur personnel ou d'une tablette, équipé·e d’un micro, d’une webcam et d’une connexion internet stable (box internet et possibilité de connexion en filaire) •	Être familiarisé·e avec l’utilisation des outils de visioconférence •	Pouvoir participer aux cours dans un environnement calme et sans être dérangé·e •	En fonction des formations, pouvoir consulter des fichiers PDF et travailler sur des fichiers de traitement de texte (Word, Writer) et tableurs (Excel, Calc).  Par ailleurs, l’assiduité, en formation en distanciel comme en présentiel, est nécessaire pour des raisons de progression pédagogique et sera relevée par le·la formateur·rice.  N’hésitez pas à remplir l’auto-questionnaire du distanciel (voir rubrique « Lien vers un autre site ») pour vérifier si votre équipement et installation sont adaptés au suivi de cours en distanciel ou en hybride au SCAP. ";;;;http://verifiez-vos-prerequis-distanciel.fr.nf/ ;;Non;;;;
Italien à distance 30h, B1.2 visé;IT/30/6;Semestriel;CENTILI Sara;15;30;Taux 2;200;Développer sa capacité à communiquer en italien à l'oral et à l'écrit pour répondre aux situations de la vie courante et découvrir des aspects variés de la culture et de la civilisation italiennes. ;Tout public ayant le niveau prérequis indiqué ci-dessous..;https://scap.paris.fr/uploads/Choisir%20son%20cours%2022-23%20ITA.pdf;Le niveau B1.2 nécessite l’acquisition préalable des compétences requises au niveau B1.1.  Inscription sur test sauf pour les auditeurs ayant validé, l’année précédente, le niveau B1.1.  ;https://forms.gle/VMXCN96JcNsnZaDKA;Entraînement progressif aux 5 compétences définies par le CECRL : compréhension orale, expression orale en continu, expression orale en interaction, compréhension écrite, expression écrite. Niveau d’enseignement: B1.2 (deuxième partie du niveau B1).  Voir tableau des compétences par niveau du Cadre Européen Commun de Compétences pour les Langues (CECRL) sur le site www.paris.fr/cap. ;Les candidats qui choisissent la modalité distanciel (« formation ouverte à distance ») doivent disposer d’un ordinateur personnel, d’un micro et d’une webcam ainsi que d’une connexion à internet stable (box internet).  Il faut, par ailleurs, qu’ils soient familiarisés avec l’utilisation des outils bureautiques et de visioconférence.;Semestre 2 : inscriptions du mardi 07 janvier au lundi 27 janvier 2025 inclus.  ;;Semestre 2 : du lundi 03 mars au lundi 30 juin 2025 inclus.  2 heures hebdomadaires.  Le cours est proposé uniquement en distanciel.;Il sera demandé aux candidats l’achat d’un manuel en début de formation. Par ailleurs, des supports et activités complémentaires seront disponibles sur la plateforme Moodle.;;"Pour les sessions en distanciel et hybride, les cours se déroulent sur la plateforme pédagogique des Cours d’Adultes de Paris. Ceux-ci sont présentés sous la forme de classes virtuelles, où les interactions avec le.la formateur.rice et le groupe sont nombreuses. Nous précisons qu'aucun lien de visioconférence ne sera envoyé directement par mail.  Pour y participer, il est très vivement recommandé de : •	Se connecter d’un ordinateur personnel ou d'une tablette, équipé·e d’un micro, d’une webcam et d’une connexion internet stable (box internet et possibilité de connexion en filaire) •	Être familiarisé·e avec l’utilisation des outils de visioconférence •	Pouvoir participer aux cours dans un environnement calme et sans être dérangé·e •	En fonction des formations, pouvoir consulter des fichiers PDF et travailler sur des fichiers de traitement de texte (Word, Writer) et tableurs (Excel, Calc).  Par ailleurs, l’assiduité, en formation en distanciel comme en présentiel, est nécessaire pour des raisons de progression pédagogique et sera relevée par le·la formateur·rice.  N’hésitez pas à remplir l’auto-questionnaire du distanciel (voir rubrique « Lien vers un autre site ») pour vérifier si votre équipement et installation sont adaptés au suivi de cours en distanciel ou en hybride au SCAP. ";;;;http://verifiez-vos-prerequis-distanciel.fr.nf/ ;Non;Oui;;;;
Italien à distance 30h, A1.1 visé;IT/30/D;Semestriel;CENTILI Sara;15;30;Taux 2;200;Apprendre les bases de l’italien pour répondre aux situations de la vie courante et découvrir des aspects variés de la culture et de la civilisation italiennes.;Tout public souhaitant s’initier à la langue et la culture italiennes.;https://scap.paris.fr/uploads/Choisir%20son%20cours%2022-23%20ITA.pdf;Être débutant en italien.   Attention : aucun test de positionnement n’est prévu pour ce cours.   ;;Entraînement progressif aux 5 compétences définies par le CECRL : compréhension orale, expression orale en continu, expression orale en interaction, compréhension écrite, expression écrite. Niveau d’enseignement : A1.1 (première partie du niveau A1).  Voir tableau des compétences par niveau du Cadre Européen Commun de Compétences pour les Langues (CECRL) sur le site www.paris.fr/cap.;Les candidats qui choisissent la modalité distanciel (« formation ouverte à distance ») doivent disposer d’un ordinateur personnel, d’un micro et d’une webcam ainsi que d’une connexion à internet stable (box internet). Il faut, par ailleurs, qu’ils soient familiarisés avec l’utilisation des outils bureautiques et de visioconférence.;Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 09 septembre 2024 (minuit) inclus. Semestre 2 : inscriptions du mardi 07 janvier au lundi 27 janvier 2025 inclus. ;;Semestre 1 : du lundi 07 octobre 2024 au samedi 15 février 2025 inclus. Semestre 2 : du lundi 03 mars au lundi 30 juin 2025 inclus.  2 heures hebdomadaires.   Le cours est proposé uniquement en distanciel.;Il sera demandé aux auditeurs l’achat d’un manuel en début de formation. Par ailleurs, des supports et activités complémentaires seront disponibles sur la plateforme Moodle.;;"Pour les sessions en distanciel et hybride, les cours se déroulent sur la plateforme pédagogique des Cours d’Adultes de Paris. Ceux-ci sont présentés sous la forme de classes virtuelles, où les interactions avec le.la formateur.rice et le groupe sont nombreuses. Nous précisons qu'aucun lien de visioconférence ne sera envoyé directement par mail.  Pour y participer, il est très vivement recommandé de : •	Se connecter d’un ordinateur personnel ou d'une tablette, équipé·e d’un micro, d’une webcam et d’une connexion internet stable (box internet et possibilité de connexion en filaire) •	Être familiarisé·e avec l’utilisation des outils de visioconférence •	Pouvoir participer aux cours dans un environnement calme et sans être dérangé·e •	En fonction des formations, pouvoir consulter des fichiers PDF et travailler sur des fichiers de traitement de texte (Word, Writer) et tableurs (Excel, Calc).  Par ailleurs, l’assiduité, en formation en distanciel comme en présentiel, est nécessaire pour des raisons de progression pédagogique et sera relevée par le·la formateur·rice.  N’hésitez pas à remplir l’auto-questionnaire du distanciel (voir rubrique « Lien vers un autre site ») pour vérifier si votre équipement et installation sont adaptés au suivi de cours en distanciel ou en hybride au SCAP. ";;;;http://verifiez-vos-prerequis-distanciel.fr.nf/ ;Non;Oui;;;;
Italien à distance 30h, A1.2 visé;IT/30/D2;Semestriel;CENTILI Sara;15;30;Taux 2;200;Développer sa capacité à communiquer en italien à l'oral et à l'écrit pour répondre aux situations de la vie courante et découvrir des aspects variés de la culture et de la civilisation italiennes. ;Tout public ayant déjà des notions d’italien.;https://scap.paris.fr/uploads/Choisir%20son%20cours%2022-23%20ITA.pdf;Le niveau A1.2 nécessite l’acquisition préalable des compétences requises au niveau A1.1.   Inscription sur test sauf pour les auditeurs ayant validé, l’année précédente, le niveau A1.1.   ;https://forms.gle/ihh4oLPCcnTofY2W6;Entraînement progressif aux 5 compétences définies par le CECRL : compréhension orale, expression orale en continu, expression orale en interaction, compréhension écrite, expression écrite. Niveau d’enseignement : A1.2 (deuxième partie du niveau A1). Voir tableau des compétences par niveau du Cadre Européen Commun de Compétences pour les Langues (CECRL) sur le site www.paris.fr/cap.  ;Les candidats qui choisissent la modalité distanciel (« formation ouverte à distance ») doivent disposer d’un ordinateur personnel, d’un micro et d’une webcam ainsi que d’une connexion à internet stable (box internet). Il faut, par ailleurs, qu’ils soient familiarisés avec l’utilisation des outils bureautiques et de visioconférence.;Semestre 2 : inscriptions du mardi 07 janvier au lundi 27 janvier 2025 inclus.  ;;Semestre 2 : du lundi 03 mars au lundi 30 juin 2025 inclus.  2 heures hebdomadaires.  Le cours est proposé uniquement en distanciel.;Il sera demandé aux auditeurs l’achat d’un manuel en début de formation.  Par ailleurs, des supports et activités complémentaires seront disponibles sur la plateforme Moodle.;;"Pour les sessions en distanciel et hybride, les cours se déroulent sur la plateforme pédagogique des Cours d’Adultes de Paris. Ceux-ci sont présentés sous la forme de classes virtuelles, où les interactions avec le.la formateur.rice et le groupe sont nombreuses. Nous précisons qu'aucun lien de visioconférence ne sera envoyé directement par mail.  Pour y participer, il est très vivement recommandé de : •	Se connecter d’un ordinateur personnel ou d'une tablette, équipé·e d’un micro, d’une webcam et d’une connexion internet stable (box internet et possibilité de connexion en filaire) •	Être familiarisé·e avec l’utilisation des outils de visioconférence •	Pouvoir participer aux cours dans un environnement calme et sans être dérangé·e •	En fonction des formations, pouvoir consulter des fichiers PDF et travailler sur des fichiers de traitement de texte (Word, Writer) et tableurs (Excel, Calc).  Par ailleurs, l’assiduité, en formation en distanciel comme en présentiel, est nécessaire pour des raisons de progression pédagogique et sera relevée par le·la formateur·rice.  N’hésitez pas à remplir l’auto-questionnaire du distanciel (voir rubrique « Lien vers un autre site ») pour vérifier si votre équipement et installation sont adaptés au suivi de cours en distanciel ou en hybride au SCAP. ";;;;http://verifiez-vos-prerequis-distanciel.fr.nf/ ;Non;Oui;;;;
Italien à distance 30h, A2.1 visé;IT/30/D3;Semestriel;CENTILI Sara;15;30;Taux 2;200;Développer sa capacité à communiquer en italien à l'oral et à l'écrit pour répondre aux situations de la vie courante et découvrir des aspects variés de la culture et de la civilisation italiennes.  ;Tout public ayant le niveau prérequis indiqué ci-dessous.;https://scap.paris.fr/uploads/Choisir%20son%20cours%2022-23%20ITA.pdf;Le niveau A2.1 nécessite l’acquisition préalable des compétences requises au niveau A1.  Inscription sur test sauf pour les auditeurs ayant validé, l’année précédente, le niveau A1 ou A1.2.  ;https://forms.gle/ihh4oLPCcnTofY2W6;Entraînement progressif aux 5 compétences définies par le CECRL : compréhension orale, expression orale en continu, expression orale en interaction, compréhension écrite, expression écrite. Niveau d’enseignement: A2.1 (première partie du niveau A2). Voir tableau des compétences par niveau du Cadre Européen Commun de Compétences pour les Langues (CECRL) sur le site www.paris.fr/cap.  ;Les candidats qui choisissent la modalité distanciel (« formation ouverte à distance ») doivent disposer d’un ordinateur personnel, d’un micro et d’une webcam ainsi que d’une connexion à internet stable (box internet). Il faut, par ailleurs, qu’ils soient familiarisés avec l’utilisation des outils bureautiques et de visioconférence.;Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 09 septembre 2024 (minuit) inclus.    ;;Semestre 1 : du lundi 07 octobre 2024 au samedi 15 février 2025 inclus.  2 heures hebdomadaires.  Le cours est proposé uniquement en distanciel.;Il sera demandé aux auditeurs l’achat d’un manuel en début de formation. Par ailleurs, des supports et activités complémentaires seront disponibles sur la plateforme Moodle.;;"Pour les sessions en distanciel et hybride, les cours se déroulent sur la plateforme pédagogique des Cours d’Adultes de Paris. Ceux-ci sont présentés sous la forme de classes virtuelles, où les interactions avec le.la formateur.rice et le groupe sont nombreuses. Nous précisons qu'aucun lien de visioconférence ne sera envoyé directement par mail.   Pour y participer, il est très vivement recommandé de : •	Se connecter d’un ordinateur personnel ou d'une tablette, équipé·e d’un micro, d’une webcam et d’une connexion internet stable (box internet et possibilité de connexion en filaire) •	Être familiarisé·e avec l’utilisation des outils de visioconférence •	Pouvoir participer aux cours dans un environnement calme et sans être dérangé·e •	En fonction des formations, pouvoir consulter des fichiers PDF et travailler sur des fichiers de traitement de texte (Word, Writer) et tableurs (Excel, Calc).  Par ailleurs, l’assiduité, en formation en distanciel comme en présentiel, est nécessaire pour des raisons de progression pédagogique et sera relevée par le·la formateur·rice.  N’hésitez pas à remplir l’auto-questionnaire du distanciel (voir rubrique « Lien vers un autre site ») pour vérifier si votre équipement et installation sont adaptés au suivi de cours en distanciel ou en hybride au SCAP. ";;;;http://verifiez-vos-prerequis-distanciel.fr.nf/ ;Non;Non;;;;
Italien à distance 30h, A2.2 visé;IT/30/D4;Semestriel;CENTILI Sara;15;30;Taux 2;200;Développer sa capacité à communiquer en italien à l'oral et à l'écrit pour répondre aux situations de la vie courante et découvrir des aspects variés de la culture et de la civilisation italiennes.;Tout public ayant le niveau prérequis indiqué ci-dessous.;https://scap.paris.fr/uploads/Choisir%20son%20cours%2022-23%20ITA.pdf;Le niveau A2.2 nécessite l’acquisition préalable des compétences requises au niveau A2.1.   Inscription sur test sauf pour les auditeurs ayant obtenu, l’année précédente, un certificat de compétences de niveau A2.1.   ;https://forms.gle/WqHfpLL1tgRMVTkn8;Entraînement progressif aux 5 compétences définies par le CECRL : compréhension orale, expression orale en continu, expression orale en interaction, compréhension écrite, expression écrite. Niveau d’enseignement: A2.2 (deuxième partie du niveau A2).  Voir tableau des compétences par niveau du Cadre Européen Commun de Compétences pour les Langues (CECRL) sur le site www.paris.fr/cap.  ;Les candidats qui choisissent la modalité distanciel (« formation ouverte à distance ») doivent disposer d’un ordinateur personnel, d’un micro et d’une webcam ainsi que d’une connexion à internet stable (box internet). Il faut, par ailleurs, qu’ils soient familiarisés avec l’utilisation des outils bureautiques et de visioconférence.;Semestre 2 : inscriptions du mardi 07 janvier au lundi 27 janvier 2025 inclus.   ;;Semestre 2 : du lundi 03 mars au lundi 30 juin 2025 inclus.  2 heures hebdomadaires.  Le cours est proposé uniquement en distanciel.;Il sera demandé aux candidats l’achat d’un manuel en début de formation.  Par ailleurs, des supports et activités complémentaires seront disponibles sur la plateforme Moodle.;;"Pour les sessions en distanciel et hybride, les cours se déroulent sur la plateforme pédagogique des Cours d’Adultes de Paris. Ceux-ci sont présentés sous la forme de classes virtuelles, où les interactions avec le.la formateur.rice et le groupe sont nombreuses. Nous précisons qu'aucun lien de visioconférence ne sera envoyé directement par mail.  Pour y participer, il est très vivement recommandé de : •	Se connecter d’un ordinateur personnel ou d'une tablette, équipé·e d’un micro, d’une webcam et d’une connexion internet stable (box internet et possibilité de connexion en filaire) •	Être familiarisé·e avec l’utilisation des outils de visioconférence •	Pouvoir participer aux cours dans un environnement calme et sans être dérangé·e •	En fonction des formations, pouvoir consulter des fichiers PDF et travailler sur des fichiers de traitement de texte (Word, Writer) et tableurs (Excel, Calc).  Par ailleurs, l’assiduité, en formation en distanciel comme en présentiel, est nécessaire pour des raisons de progression pédagogique et sera relevée par le·la formateur·rice.  N’hésitez pas à remplir l’auto-questionnaire du distanciel (voir rubrique « Lien vers un autre site ») pour vérifier si votre équipement et installation sont adaptés au suivi de cours en distanciel ou en hybride au SCAP. ";;;;http://verifiez-vos-prerequis-distanciel.fr.nf/ ;Non;Oui;;;;
Première A;1/A/LMA;Cours annuel;DUPORTAIL Cécile;;;;130;;;;;;;;;;;;;;;;;;;;;;;
Première B;1/B/LMA;Cours annuel;DUPORTAIL Cécile;;;;130;;;;;;;;;;;;;;;;;;;;;;;
Première C;1/C/LMA;Cours annuel;DUPORTAIL Cécile;;;;130;;;;;;;;;;;;;;;;;;;;;;;
BTS Comptabilité et Gestion 1;1/CG/1;Cours annuel;GUERTAOUI Abdelaziz;180;600;Taux 2;300;Préparer le B.T.S. Comptabilité et Gestion (diplôme de niveau III) pour se présenter à la session de mai 2025 aux épreuves E41 - E42 - Culture Générale - Langue vivante Anglais.;Personnes désirant acquérir une qualification professionnelle de niveau III en comptabilité et gestion pour exercer dans les fonctions correspondantes (tout secteur d’activité).;;Répondre à l’une des conditions suivantes :    - Être titulaire d’un baccalauréat général, technologique ou professionnel Comptabilité ou Gestion administration ou d’un brevet professionnel de bureautique, option Finances et comptabilité.  - Avoir occupé pendant trois ans au moins, à la date de l’examen, un emploi dans le domaine de la comptabilité. ;;Contenu de formation professionnelle en adéquation avec le référentiel du BTS Comptabilité et Gestion de l’Éducation Nationale  Domaines généraux :  - culture générale et expression, - langue vivante étrangère (anglais)  Domaines professionnels : - contrôle et traitement comptable des opérations commerciales - contrôle et production de l'information financière - gestion des obligations fiscales - gestion des relations sociales - informatique;La préparation au BTS est proposée sur deux années (cf. fiche BTS CG2 sur ce site).;Inscriptions du lundi 19 août (10h) au lundi 09 septembre 2024 (minuit) inclus. ;;Du lundi 07 octobre 2024 au lundi 30 juin 2025 inclus.  20 heures hebdomadaires en moyenne ( à titre indicatif qui peut connaitre des modifications selon les circonstances : 15 heures à Lescot et 5 h à Truffaut).  ;;Au moment de l’examen, les candidats doivent justifier de 10 semaines de stage en entreprise dans le domaine de la comptabilité. La recherche du stage incombe à l’auditeur.  L’attestation de stage peut être remplacée par un ou plusieurs certificats de travail attestant que l’intéressé a été occupé dans des activités représentatives d’un emploi dans le domaine de la comptabilité. Elles doivent avoir été effectuées en qualité de salarié à plein temps pendant six mois au cours de l’année précédant l’examen ou à temps partiel pendant un an au cours des deux années précédant l’examen. ;L’utilisation d’un PC portable personnel ou d’une tablette est recommandée pour assister à ce cours et pouvoir travailler sur les exercices entre les cours. Vous devez disposer de votre propre connexion internet, soit en partage de connexion (connecter ses appareils grâce aux data de son portable.) ou utiliser une clé internet 4G ou 5G. ;;;Référentiel du diplôme : https://enqdip.sup.adc.education.fr/bts/referentiel/BTS_ComptabiliteGestion.pdf    Consulter ce document pour toutes questions relatives au programme, au stage, à l’examen.  ;;Non;Non;Oui;;;
